BatchId,AccountId,SubscriptionId,CustomerId,ProviderId,ProductId,ProductCategory,ChannelId,Amount,Value,PricingStrategy,Date,Hour,Day,Month,MargeBrute,TauxRentabilité
BatchId_35028,AccountId_2441,SubscriptionId_4426,CustomerId_2857,ProviderId_5,ProductId_3,airtime,ChannelId_3,1000.0,1000,4,2019-02-13,10,13,2,0.0,0.0
BatchId_45139,AccountId_3439,SubscriptionId_2643,CustomerId_3874,ProviderId_5,ProductId_15,financial_services,ChannelId_3,2000.0,2000,2,2019-02-13,10,13,2,0.0,0.0
BatchId_74887,AccountId_4841,SubscriptionId_3829,CustomerId_2857,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-50.0,50,2,2019-02-13,10,13,2,-100.0,-2.0
BatchId_11025,AccountId_2685,SubscriptionId_4626,CustomerId_3105,ProviderId_5,ProductId_10,airtime,ChannelId_3,3000.0,3000,4,2019-02-13,10,13,2,0.0,0.0
BatchId_29804,AccountId_4841,SubscriptionId_3829,CustomerId_3105,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-60.0,60,2,2019-02-13,10,13,2,-120.0,-2.0
BatchId_67575,AccountId_3439,SubscriptionId_2643,CustomerId_3874,ProviderId_6,ProductId_3,airtime,ChannelId_3,1000.0,1000,2,2019-02-13,10,13,2,0.0,0.0
BatchId_52375,AccountId_4841,SubscriptionId_3829,CustomerId_3874,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-50.0,50,2,2019-02-13,10,13,2,-100.0,-2.0
BatchId_112552,AccountId_2908,SubscriptionId_2977,CustomerId_3332,ProviderId_3,ProductId_3,airtime,ChannelId_3,1000.0,1000,1,2019-02-13,10,13,2,0.0,0.0
BatchId_60867,AccountId_4841,SubscriptionId_3829,CustomerId_3332,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-50.0,50,2,2019-02-13,10,13,2,-100.0,-2.0
BatchId_14721,AccountId_460,SubscriptionId_2976,CustomerId_790,ProviderId_3,ProductId_14,financial_services,ChannelId_3,1161.0,1161,0,2019-02-13,10,13,2,0.0,0.0
BatchId_64123,AccountId_10,SubscriptionId_4346,CustomerId_2697,ProviderId_4,ProductId_3,airtime,ChannelId_5,-1000.0,1000,4,2019-02-13,10,13,2,-2000.0,-2.0
BatchId_29594,AccountId_4319,SubscriptionId_770,CustomerId_4775,ProviderId_5,ProductId_3,airtime,ChannelId_3,1000.0,1000,4,2019-02-13,10,13,2,0.0,0.0
BatchId_16086,AccountId_4841,SubscriptionId_3829,CustomerId_4775,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-50.0,50,2,2019-02-13,10,13,2,-100.0,-2.0
BatchId_80678,AccountId_369,SubscriptionId_176,CustomerId_699,ProviderId_1,ProductId_1,airtime,ChannelId_3,2000.0,2000,4,2019-02-13,10,13,2,0.0,0.0
BatchId_100409,AccountId_4356,SubscriptionId_3500,CustomerId_4813,ProviderId_6,ProductId_3,airtime,ChannelId_3,1000.0,1000,2,2019-02-13,10,13,2,0.0,0.0
BatchId_3286,AccountId_369,SubscriptionId_176,CustomerId_699,ProviderId_1,ProductId_1,airtime,ChannelId_3,2000.0,2000,4,2019-02-13,10,13,2,0.0,0.0
BatchId_102335,AccountId_4841,SubscriptionId_3829,CustomerId_4813,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-50.0,50,2,2019-02-13,10,13,2,-100.0,-2.0
BatchId_110021,AccountId_4841,SubscriptionId_3829,CustomerId_699,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-100.0,100,2,2019-02-13,10,13,2,-200.0,-2.0
BatchId_65494,AccountId_4226,SubscriptionId_241,CustomerId_4680,ProviderId_5,ProductId_10,airtime,ChannelId_3,2500.0,2500,4,2019-02-13,10,13,2,0.0,0.0
BatchId_45037,AccountId_4841,SubscriptionId_3829,CustomerId_4680,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-50.0,50,2,2019-02-13,10,13,2,-100.0,-2.0
BatchId_77764,AccountId_1241,SubscriptionId_4611,CustomerId_1603,ProviderId_1,ProductId_15,financial_services,ChannelId_3,500.0,500,2,2019-02-13,10,13,2,0.0,0.0
BatchId_78447,AccountId_3605,SubscriptionId_939,CustomerId_4043,ProviderId_6,ProductId_10,airtime,ChannelId_3,1000.0,1000,2,2019-02-13,10,13,2,0.0,0.0
BatchId_39121,AccountId_4841,SubscriptionId_3829,CustomerId_4043,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-20.0,20,2,2019-02-13,10,13,2,-40.0,-2.0
BatchId_96386,AccountId_2828,SubscriptionId_1485,CustomerId_3250,ProviderId_5,ProductId_7,tv,ChannelId_3,33000.0,33990,2,2019-02-13,10,13,2,-990.0,-0.02912621359223301
BatchId_19091,AccountId_4841,SubscriptionId_3829,CustomerId_3250,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-462.0,462,2,2019-02-13,10,13,2,-924.0,-2.0
BatchId_3772,AccountId_33,SubscriptionId_1256,CustomerId_349,ProviderId_1,ProductId_1,airtime,ChannelId_3,5000.0,5000,4,2019-02-13,10,13,2,0.0,0.0
BatchId_62631,AccountId_10,SubscriptionId_4346,CustomerId_3422,ProviderId_4,ProductId_10,airtime,ChannelId_5,-1000.0,1000,4,2019-02-13,10,13,2,-2000.0,-2.0
BatchId_58142,AccountId_10,SubscriptionId_4346,CustomerId_1944,ProviderId_4,ProductId_3,airtime,ChannelId_5,-500.0,500,4,2019-02-13,10,13,2,-1000.0,-2.0
BatchId_25039,AccountId_4841,SubscriptionId_3829,CustomerId_349,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-250.0,250,2,2019-02-13,10,13,2,-500.0,-2.0
BatchId_118945,AccountId_1949,SubscriptionId_548,CustomerId_2343,ProviderId_6,ProductId_3,airtime,ChannelId_3,1000.0,1000,2,2019-02-13,10,13,2,0.0,0.0
BatchId_111107,AccountId_4841,SubscriptionId_3829,CustomerId_2343,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-47.5,48,2,2019-02-13,10,13,2,-95.5,-1.9895833333333333
BatchId_57891,AccountId_2243,SubscriptionId_262,CustomerId_2655,ProviderId_6,ProductId_1,airtime,ChannelId_3,300.0,300,2,2019-02-13,10,13,2,0.0,0.0
BatchId_2197,AccountId_4841,SubscriptionId_3829,CustomerId_2655,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-15.0,15,2,2019-02-13,10,13,2,-30.0,-2.0
BatchId_569,AccountId_4840,SubscriptionId_3829,CustomerId_2655,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-1000.0,1000,2,2019-02-13,10,13,2,-2000.0,-2.0
BatchId_128859,AccountId_3925,SubscriptionId_351,CustomerId_4371,ProviderId_6,ProductId_3,airtime,ChannelId_3,10000.0,10000,2,2019-02-13,10,13,2,0.0,0.0
BatchId_36152,AccountId_4383,SubscriptionId_2283,CustomerId_4840,ProviderId_6,ProductId_3,airtime,ChannelId_3,1000.0,1000,2,2019-02-13,10,13,2,0.0,0.0
BatchId_22663,AccountId_4841,SubscriptionId_3829,CustomerId_4371,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-500.0,500,2,2019-02-13,10,13,2,-1000.0,-2.0
BatchId_85782,AccountId_4841,SubscriptionId_3829,CustomerId_4840,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-50.0,50,2,2019-02-13,10,13,2,-100.0,-2.0
BatchId_22951,AccountId_2312,SubscriptionId_3636,CustomerId_2726,ProviderId_5,ProductId_15,financial_services,ChannelId_3,5000.0,5000,2,2019-02-13,10,13,2,0.0,0.0
BatchId_40100,AccountId_2312,SubscriptionId_3636,CustomerId_2726,ProviderId_6,ProductId_4,airtime,ChannelId_3,5000.0,5000,2,2019-02-13,10,13,2,0.0,0.0
BatchId_70416,AccountId_4841,SubscriptionId_3829,CustomerId_2726,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-250.0,250,2,2019-02-13,10,13,2,-500.0,-2.0
BatchId_134741,AccountId_4840,SubscriptionId_3829,CustomerId_2726,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-1000.0,1000,2,2019-02-13,10,13,2,-2000.0,-2.0
BatchId_40725,AccountId_3668,SubscriptionId_4666,CustomerId_4109,ProviderId_6,ProductId_1,airtime,ChannelId_3,300.0,300,2,2019-02-13,10,13,2,0.0,0.0
BatchId_125414,AccountId_4383,SubscriptionId_2283,CustomerId_4840,ProviderId_6,ProductId_3,airtime,ChannelId_3,1000.0,1000,2,2019-02-13,10,13,2,0.0,0.0
BatchId_3012,AccountId_4841,SubscriptionId_3829,CustomerId_4840,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-50.0,50,2,2019-02-13,10,13,2,-100.0,-2.0
BatchId_75112,AccountId_3802,SubscriptionId_854,CustomerId_4245,ProviderId_6,ProductId_1,airtime,ChannelId_3,5000.0,5000,2,2019-02-13,10,13,2,0.0,0.0
BatchId_37634,AccountId_2033,SubscriptionId_2832,CustomerId_2434,ProviderId_6,ProductId_4,airtime,ChannelId_3,1000.0,1000,2,2019-02-13,10,13,2,0.0,0.0
BatchId_59865,AccountId_4841,SubscriptionId_3829,CustomerId_2434,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-50.0,50,2,2019-02-13,10,13,2,-100.0,-2.0
BatchId_84552,AccountId_2828,SubscriptionId_1485,CustomerId_3250,ProviderId_5,ProductId_3,airtime,ChannelId_3,1200.0,1200,4,2019-02-13,11,13,2,0.0,0.0
BatchId_30927,AccountId_4841,SubscriptionId_3829,CustomerId_3250,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-60.0,60,2,2019-02-13,11,13,2,-120.0,-2.0
BatchId_52016,AccountId_958,SubscriptionId_4817,CustomerId_1307,ProviderId_3,ProductId_3,airtime,ChannelId_3,1000.0,1000,1,2019-02-13,11,13,2,0.0,0.0
BatchId_35938,AccountId_4841,SubscriptionId_3829,CustomerId_1307,ProviderId_4,ProductId_6,financial_services,ChannelId_2,-50.0,50,2,2019-02-13,11,13,2,-100.0,-2.0
